YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
2021,30.25,72.25,12.42,17.87,24.27,28.48,34.37,36.84,37.91,36.8,33.17,27.94,21.16,15.34,27.26
2021,30.25,72.75,12.57,17.99,24.38,28.41,34.17,36.42,37.51,36.66,32.73,27.8,21.08,15.26,27.13
2021,30.25,73.25,12.63,18.1,24.51,28.33,34.03,36.14,36.99,36.42,32.13,27.59,20.84,15.11,26.95
2021,30.25,73.75,12.48,18.07,24.51,28.21,33.79,35.8,36.15,35.93,31.11,26.94,20.29,14.83,26.55
2021,30.25,74.25,12.26,18.1,24.66,28.14,33.58,35.64,35.19,34.78,30.25,26.28,19.69,14.48,26.13
2021,30.25,74.75,12.07,18.23,24.8,28.13,33.36,35.35,34.45,33.3,29.56,25.72,19.18,14.06,25.72
2021,30.25,75.25,11.98,18.25,24.86,28.1,33.11,35,33.87,31.91,29,25.26,18.73,13.65,25.34
2021,30.25,75.75,12.06,18.13,24.83,28.07,32.77,34.59,33.29,30.75,28.42,24.85,18.37,13.37,24.99
2021,30.25,76.25,12.44,18.01,24.78,28.14,32.3,34.05,32.51,29.72,27.65,24.41,18.18,13.4,24.66
2021,30.25,76.75,13.08,17.93,24.33,27.93,31.35,32.97,31.28,28.67,26.91,23.66,17.74,13.43,24.13
2021,30.25,77.25,13.26,17.46,23.42,27,29.68,31.37,29.88,27.52,26.05,22.74,16.96,12.94,23.21
2021,30.25,77.75,12.79,16.32,21.84,25.32,27.57,29.33,28.13,26.01,24.77,21.44,15.88,11.97,21.8
2021,30.25,78.25,11.41,14.26,19.29,22.56,24.68,26.51,25.74,23.88,22.76,19.49,14.34,10.32,19.63
2021,30.25,78.75,8.85,11.15,15.44,18.1,19.99,22.21,22.28,20.87,19.68,16.49,11.98,7.58,16.24
2021,30.25,79.25,4.56,6.72,10.67,12.94,14.96,17.81,18.73,17.7,16.43,12.8,8.06,3.43,12.09
2021,30.25,79.75,-0.2,1.88,5.53,7.58,10.17,13.47,15.18,14.37,13.07,8.27,2.77,-1.68,7.56
2021,30.25,80.25,-4.51,-2.54,0.85,2.8,6.2,9.96,12.28,11.59,10.19,4.06,-2.34,-6.57,3.53
2021,30.25,80.75,-8.1,-6.17,-2.98,-1.05,3.2,7.41,10.2,9.55,7.94,0.82,-6.28,-10.54,0.37
2021,30.25,81.25,-11.35,-9.08,-6.01,-4.08,0.84,5.42,8.58,7.92,5.99,-1.33,-8.53,-13.31,-2.04
2021,30.75,72.25,12.27,17.87,23.61,27.73,34.15,36.95,37.77,36.69,33.06,27.62,20.61,15.05,26.99
2021,30.75,72.75,12.4,18.01,23.77,27.7,34,36.67,37.4,36.51,32.63,27.42,20.5,14.94,26.87
2021,30.75,73.25,12.36,18.01,23.83,27.67,33.83,36.39,36.89,36.13,31.98,27.11,20.24,14.71,26.64
2021,30.75,73.75,12.1,17.89,23.8,27.67,33.57,36.11,36.1,35.47,30.89,26.28,19.67,14.35,26.2
2021,30.75,74.25,11.97,17.92,23.94,27.63,33.41,35.96,35.31,34.34,30.15,25.69,19.18,13.96,25.83
2021,30.75,74.75,11.86,17.95,24.16,27.65,33.26,35.63,34.58,33.08,29.55,25.21,18.76,13.62,25.48
2021,30.75,75.25,11.85,17.92,24.36,27.63,33.03,35.13,33.9,31.87,29.09,24.9,18.42,13.34,25.15
2021,30.75,75.75,12.11,17.88,24.47,27.58,32.64,34.48,33.22,30.78,28.62,24.73,18.28,13.28,24.87
2021,30.75,76.25,12.89,18.02,24.46,27.63,31.98,33.72,32.39,29.74,27.84,24.62,18.58,13.68,24.66
2021,30.75,76.75,12.61,16.65,22.41,25.65,29.36,31.14,29.77,27.34,25.76,22.6,17.17,12.79,22.8
2021,30.75,77.25,10.98,14.11,19.03,22.01,24.99,27.13,26.37,24.44,23.06,19.71,14.69,10.53,19.78
2021,30.75,77.75,8.71,11.13,15.51,18.14,20.77,23.24,23.14,21.62,20.33,16.74,12.02,7.84,16.62
2021,30.75,78.25,5.32,7.25,11.38,13.68,16.45,19.23,19.81,18.52,17.23,13.34,8.82,4.34,12.98
2021,30.75,78.75,-0.92,0.88,4.51,6.39,9.62,13.09,14.87,13.84,12.53,7.95,3.54,-1.69,7.08
2021,30.75,79.25,-6.93,-4.75,-1.22,0.59,4.75,8.57,11.16,10.17,8.85,3.07,-2.16,-7.46,2.09
2021,30.75,79.75,-10.77,-8.45,-5.03,-3.14,1.53,5.65,8.93,7.99,6.56,-1,-7.32,-11.77,-1.36
2021,30.75,80.25,-12.86,-10.41,-7,-4.93,0.04,4.41,8.08,7.2,5.59,-3.47,-10.9,-14.53,-3.19
2021,30.75,80.75,-13.86,-11.22,-7.73,-5.45,-0.24,4.34,8.11,7.27,5.43,-4.24,-12.47,-15.95,-3.79
