"YEAR","LAT","LON","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
2021,30.25,74.25,12.26,18.1,24.66,28.14,33.58,35.64,35.19,34.78,30.25,26.28,19.69,14.48,26.13
2021,30.25,74.75,12.07,18.23,24.8,28.13,33.36,35.35,34.45,33.3,29.56,25.72,19.18,14.06,25.72
2021,30.25,75.25,11.98,18.25,24.86,28.1,33.11,35,33.87,31.91,29,25.26,18.73,13.65,25.34
2021,30.25,75.75,12.06,18.13,24.83,28.07,32.77,34.59,33.29,30.75,28.42,24.85,18.37,13.37,24.99
2021,30.25,76.25,12.44,18.01,24.78,28.14,32.3,34.05,32.51,29.72,27.65,24.41,18.18,13.4,24.66
2021,30.25,76.75,13.08,17.93,24.33,27.93,31.35,32.97,31.28,28.67,26.91,23.66,17.74,13.43,24.13
2021,30.25,77.25,13.26,17.46,23.42,27,29.68,31.37,29.88,27.52,26.05,22.74,16.96,12.94,23.21
2021,30.25,77.75,12.79,16.32,21.84,25.32,27.57,29.33,28.13,26.01,24.77,21.44,15.88,11.97,21.8
2021,30.25,78.25,11.41,14.26,19.29,22.56,24.68,26.51,25.74,23.88,22.76,19.49,14.34,10.32,19.63
2021,30.25,78.75,8.85,11.15,15.44,18.1,19.99,22.21,22.28,20.87,19.68,16.49,11.98,7.58,16.24
2021,30.25,79.25,4.56,6.72,10.67,12.94,14.96,17.81,18.73,17.7,16.43,12.8,8.06,3.43,12.09
2021,30.25,79.75,-0.2,1.88,5.53,7.58,10.17,13.47,15.18,14.37,13.07,8.27,2.77,-1.68,7.56
2021,30.25,80.25,-4.51,-2.54,0.85,2.8,6.2,9.96,12.28,11.59,10.19,4.06,-2.34,-6.57,3.53
2021,30.25,80.75,-8.1,-6.17,-2.98,-1.05,3.2,7.41,10.2,9.55,7.94,0.82,-6.28,-10.54,0.37
2021,30.75,74.25,11.97,17.92,23.94,27.63,33.41,35.96,35.31,34.34,30.15,25.69,19.18,13.96,25.83
2021,30.75,74.75,11.86,17.95,24.16,27.65,33.26,35.63,34.58,33.08,29.55,25.21,18.76,13.62,25.48
2021,30.75,75.25,11.85,17.92,24.36,27.63,33.03,35.13,33.9,31.87,29.09,24.9,18.42,13.34,25.15
